classification_note_id,food_group,classification_note,item
classification_note_0001,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Pecan
classification_note_0002,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Macadamia
classification_note_0003,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Pignola nuts
classification_note_0004,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Pili nuts
classification_note_0005,Seafood,Species in category Abalone outside top 100,Abalones nei
classification_note_0006,Seafood,Species in category Abalone outside top 100,False abalone
classification_note_0007,Seafood,Species in category Abalone outside top 100,Red abalone
classification_note_0008,Seafood,Species in category Abalone outside top 100,Perlemoen abalone
classification_note_0009,Seafood,Species in category Abalone outside top 100,Giant abalone
classification_note_0010,Seafood,Species in category Abalone outside top 100,Blacklip abalone
classification_note_0011,Seafood,Species in category Abalone outside top 100,Rainbow abalone
classification_note_0012,Seafood,Species in category Abalone outside top 100,Tuberculate abalone
classification_note_0013,Seafood,Species in category Abalone outside top 100,Japanese abalone
classification_note_0014,Seafood,Species in category Aquatic Plants outside top 100,Fusiform sargassum
classification_note_0015,Seafood,Species in category Aquatic Plants outside top 100,Aquatic plants nei
classification_note_0016,Seafood,Species in category Aquatic Plants outside top 100,Chilean kelp
classification_note_0017,Seafood,Species in category Aquatic Plants outside top 100,Spiny eucheuma
classification_note_0018,Seafood,Species in category Aquatic Plants outside top 100,North Atlantic rockweed
classification_note_0019,Seafood,Species in category Aquatic Plants outside top 100,Japanese sargasso weed
classification_note_0020,Seafood,Species in category Aquatic Plants outside top 100,Spirulina nei
classification_note_0021,Seafood,Species in category Aquatic Plants outside top 100,North European kelp
classification_note_0022,Seafood,Species in category Aquatic Plants outside top 100,Giant kelps nei
classification_note_0023,Seafood,Species in category Aquatic Plants outside top 100,Giant kelp
classification_note_0024,Seafood,Species in category Aquatic Plants outside top 100,Red seaweeds
classification_note_0025,Seafood,Species in category Aquatic Plants outside top 100,Leister
classification_note_0026,Seafood,Species in category Aquatic Plants outside top 100,Skottsberg's gigartina
classification_note_0027,Seafood,Species in category Aquatic Plants outside top 100,Tangle
classification_note_0028,Seafood,Species in category Aquatic Plants outside top 100,Seaweeds nei
classification_note_0029,Seafood,Species in category Aquatic Plants outside top 100,Green seaweeds
classification_note_0030,Seafood,Species in category Aquatic Plants outside top 100,Bull kelp
classification_note_0031,Seafood,Species in category Aquatic Plants outside top 100,Kelps nei
classification_note_0032,Seafood,Species in category Aquatic Plants outside top 100,Green laver
classification_note_0033,Seafood,Species in category Aquatic Plants outside top 100,Fragile codium
classification_note_0034,Seafood,Species in category Aquatic Plants outside top 100,Sea lettuces nei
classification_note_0035,Seafood,Species in category Aquatic Plants outside top 100,Warty gracilaria
classification_note_0036,Seafood,Species in category Aquatic Plants outside top 100,Gelidium seaweeds
classification_note_0037,Seafood,Species in category Aquatic Plants outside top 100,Caulerpa seaweeds
classification_note_0038,Seafood,Species in category Aquatic Plants outside top 100,Slender wart weed
classification_note_0039,Seafood,Species in category Aquatic Plants outside top 100,Giant gelidium
classification_note_0040,Seafood,Species in category Aquatic Plants outside top 100,Sea belt
classification_note_0041,Seafood,Species in category Aquatic Plants outside top 100,Gut weed
classification_note_0042,Seafood,Species in category Aquatic Plants outside top 100,Zanzibar weed
classification_note_0043,Seafood,Species in category Aquatic Plants outside top 100,Lacy sea lettuce
classification_note_0044,Seafood,Species in category Aquatic Plants outside top 100,Babberlocks
classification_note_0045,Seafood,Species in category Aquatic Plants outside top 100,Ribboned nori
classification_note_0046,Seafood,Species in category Aquatic Plants outside top 100,Unicell. chlorella green alga
classification_note_0047,Seafood,Species in category Aquatic Plants outside top 100,Sea thong
classification_note_0048,Seafood,Species in category Aquatic Plants outside top 100,Dulse
classification_note_0049,Seafood,Species in category Aquatic Plants outside top 100,Blunt laurenzia
classification_note_0050,Seafood,Species in category Aquatic Plants outside top 100,Carragheen (Irish) moss
classification_note_0051,Seafood,Species in category Aquatic Plants outside top 100,Chalk weed
classification_note_0052,Seafood,Species in category Aquatic Plants outside top 100,Channel wrack
classification_note_0053,Seafood,Species in category Aquatic Plants outside top 100,Coarse seagrape
classification_note_0054,Seafood,Species in category Aquatic Plants outside top 100,Dark green nori
classification_note_0055,Seafood,Species in category Aquatic Plants outside top 100,Eel-grass
classification_note_0056,Seafood,Species in category Aquatic Plants outside top 100,Gigartina seaweeds nei
classification_note_0057,Seafood,Species in category Aquatic Plants outside top 100,Golden Cystoseira
classification_note_0058,Seafood,Species in category Aquatic Plants outside top 100,Green sea feather
classification_note_0059,Seafood,Species in category Aquatic Plants outside top 100,Hairy gelidium
classification_note_0060,Seafood,Species in category Aquatic Plants outside top 100,Harpoon seaweeds
classification_note_0061,Seafood,Species in category Aquatic Plants outside top 100,Japanese isinglass
classification_note_0062,Seafood,Species in category Aquatic Plants outside top 100,Manifold callophyllis
classification_note_0063,Seafood,Species in category Aquatic Plants outside top 100,Phyllophora nei
classification_note_0064,Seafood,Species in category Aquatic Plants outside top 100,Red forkweed
classification_note_0065,Seafood,Species in category Aquatic Plants outside top 100,Red sea lettuce
classification_note_0066,Seafood,Species in category Aquatic Plants outside top 100,Red seabroom
classification_note_0067,Seafood,Species in category Aquatic Plants outside top 100,Sea cactus
classification_note_0068,Seafood,Species in category Aquatic Plants outside top 100,Sea lettuce
classification_note_0069,Seafood,Species in category Aquatic Plants outside top 100,Tule nei
classification_note_0070,Seafood,Species in category Caiman outside top 100,Paraguayan caiman
classification_note_0071,Seafood,Species in category Caiman outside top 100,Broad-nosed caiman
classification_note_0072,Seafood,Species in category Caiman outside top 100,Smooth-fronted caiman
classification_note_0073,Seafood,Species in category Caiman outside top 100,Cuvier's Dwarf caiman
classification_note_0074,Seafood,Species in category Caiman outside top 100,Black caiman
classification_note_0075,Seafood,Species in category Clams outside top 100,"Clams, etc. nei"
classification_note_0076,Seafood,Species in category Clams outside top 100,Atlantic surf clam
classification_note_0077,Seafood,Species in category Clams outside top 100,Japanese hard clam
classification_note_0078,Seafood,Species in category Clams outside top 100,Stimpson's surf clam
classification_note_0079,Seafood,Species in category Clams outside top 100,Asian clam
classification_note_0080,Seafood,Species in category Clams outside top 100,Venus clams nei
classification_note_0081,Seafood,Species in category Clams outside top 100,Ark clams nei
classification_note_0082,Seafood,Species in category Clams outside top 100,Taca clam
classification_note_0083,Seafood,Species in category Clams outside top 100,Solid surf clam
classification_note_0084,Seafood,Species in category Clams outside top 100,Short neck clams nei
classification_note_0085,Seafood,Species in category Clams outside top 100,Hard clams nei
classification_note_0086,Seafood,Species in category Clams outside top 100,Macha clam
classification_note_0087,Seafood,Species in category Clams outside top 100,Taquilla clams
classification_note_0088,Seafood,Species in category Clams outside top 100,Surf clams nei
classification_note_0089,Seafood,Species in category Clams outside top 100,Butter clam
classification_note_0090,Seafood,Species in category Clams outside top 100,Pipi wedge clam
classification_note_0091,Seafood,Species in category Clams outside top 100,Donax clams
classification_note_0092,Seafood,Species in category Clams outside top 100,Anadara clams nei
classification_note_0093,Seafood,Species in category Clams outside top 100,Imperial surf clam
classification_note_0094,Seafood,Species in category Clams outside top 100,Equal-sized surf clam
classification_note_0095,Seafood,Species in category Clams outside top 100,Manila clam
classification_note_0096,Seafood,Species in category Clams outside top 100,Pacific horse clams nei
classification_note_0097,Seafood,Species in category Clams outside top 100,Pacific littleneck clam
classification_note_0098,Seafood,Species in category Clams outside top 100,Elongate giant clam
classification_note_0099,Seafood,Species in category Clams outside top 100,Southern hardshell clam
classification_note_0100,Seafood,Species in category Clams outside top 100,Giant clams nei
classification_note_0101,Seafood,Species in category Clams outside top 100,Asiatic hard clam
classification_note_0102,Seafood,Species in category Clams outside top 100,Bear paw clam
classification_note_0103,Seafood,Species in category Clams outside top 100,Crocus giant clam
classification_note_0104,Seafood,Species in category Clams outside top 100,Fluted giant clam
classification_note_0105,Seafood,Species in category Clams outside top 100,Giant clam
classification_note_0106,Seafood,Species in category Clams outside top 100,Globose clam
classification_note_0107,Seafood,Species in category Clams outside top 100,Mactra surf clams nei
classification_note_0108,Seafood,Species in category Clams outside top 100,Pacific horse clam
classification_note_0109,Seafood,Species in category Clams outside top 100,Smooth giant clam
classification_note_0110,Seafood,Species in category Clams outside top 100,Subtruncate surf clam
classification_note_0111,Seafood,Species in category Cockle outside top 100,Common edible cockle
classification_note_0112,Seafood,Species in category Cockle outside top 100,Cockles nei
classification_note_0113,Seafood,Species in category Cockle outside top 100,Basket cockle
classification_note_0114,Seafood,Species in category Cockle outside top 100,Slender cockle
classification_note_0115,Seafood,Species in category Cockle outside top 100,American yellow cockle
classification_note_0116,Seafood,Species in category Cockle outside top 100,Olive green cockle
classification_note_0117,Seafood,Species in category Cockle outside top 100,Sand cockle
classification_note_0118,Seafood,Species in category Cockle outside top 100,Tuberculate cockle
classification_note_0119,Seafood,Species in category Crabs outside top 100,Marine crabs nei
classification_note_0120,Seafood,Species in category Crabs outside top 100,Blue swimming crab
classification_note_0121,Seafood,Species in category Crabs outside top 100,Indo-Pacific swamp crab
classification_note_0122,Seafood,Species in category Crabs outside top 100,Green mud crab
classification_note_0123,Seafood,Species in category Crabs outside top 100,Queen crab
classification_note_0124,Seafood,Species in category Crabs outside top 100,Blue crab
classification_note_0125,Seafood,Species in category Crabs outside top 100,Tanner crabs nei
classification_note_0126,Seafood,Species in category Crabs outside top 100,Edible crab
classification_note_0127,Seafood,Species in category Crabs outside top 100,Clown crab
classification_note_0128,Seafood,Species in category Crabs outside top 100,Dungeness crab
classification_note_0129,Seafood,Species in category Crabs outside top 100,Orange mud crab
classification_note_0130,Seafood,Species in category Crabs outside top 100,Red king crab
classification_note_0131,Seafood,Species in category Crabs outside top 100,Charybdis crabs nei
classification_note_0132,Seafood,Species in category Crabs outside top 100,Red snow crab
classification_note_0133,Seafood,Species in category Crabs outside top 100,Spinous spider crab
classification_note_0134,Seafood,Species in category Crabs outside top 100,Blue king crab
classification_note_0135,Seafood,Species in category Crabs outside top 100,Southern king crab
classification_note_0136,Seafood,Species in category Crabs outside top 100,Jonah crab
classification_note_0137,Seafood,Species in category Crabs outside top 100,King crab
classification_note_0138,Seafood,Species in category Crabs outside top 100,Softshell red crab
classification_note_0139,Seafood,Species in category Crabs outside top 100,Atlantic rock crab
classification_note_0140,Seafood,Species in category Crabs outside top 100,Mola rock crab
classification_note_0141,Seafood,Species in category Crabs outside top 100,Golden king crab
classification_note_0142,Seafood,Species in category Crabs outside top 100,Mediterranean shore crab
classification_note_0143,Seafood,Species in category Crabs outside top 100,Green crab
classification_note_0144,Seafood,Species in category Crabs outside top 100,Tanner crab
classification_note_0145,Seafood,Species in category Crabs outside top 100,Horseshoe crab
classification_note_0146,Seafood,Species in category Crabs outside top 100,Spanner crab
classification_note_0147,Seafood,Species in category Crabs outside top 100,Black stone crab
classification_note_0148,Seafood,Species in category Crabs outside top 100,Southwest Atlantic red crab
classification_note_0149,Seafood,Species in category Crabs outside top 100,Brown king crab
classification_note_0150,Seafood,Species in category Crabs outside top 100,Right-handed hermit crabs nei
classification_note_0151,Seafood,Species in category Crabs outside top 100,Pacific rock crab
classification_note_0152,Seafood,Species in category Crabs outside top 100,Hair crab
classification_note_0153,Seafood,Species in category Crabs outside top 100,"Swimming crabs, etc. nei"
classification_note_0154,Seafood,Species in category Crabs outside top 100,Southern spider crab
classification_note_0155,Seafood,Species in category Crabs outside top 100,Henslow’s swimming crab
classification_note_0156,Seafood,Species in category Crabs outside top 100,Deep-sea red crab
classification_note_0157,Seafood,Species in category Crabs outside top 100,Golden deepsea crab
classification_note_0158,Seafood,Species in category Crabs outside top 100,Giant stone crab
classification_note_0159,Seafood,Species in category Crabs outside top 100,Maja spider crabs nei
classification_note_0160,Seafood,Species in category Crabs outside top 100,Mangrove ghost crab
classification_note_0161,Seafood,Species in category Crabs outside top 100,Batwing coral crab
classification_note_0162,Seafood,Species in category Crabs outside top 100,Pacific golden crab
classification_note_0163,Seafood,Species in category Crabs outside top 100,Stone king crab
classification_note_0164,Seafood,Species in category Crabs outside top 100,Channel-clinging crab
classification_note_0165,Seafood,Species in category Crabs outside top 100,Nimble spray crab
classification_note_0166,Seafood,Species in category Crabs outside top 100,Giant land crab
classification_note_0167,Seafood,Species in category Crabs outside top 100,Red crab
classification_note_0168,Seafood,Species in category Crabs outside top 100,"King crabs, stone crabs nei"
classification_note_0169,Seafood,Species in category Crabs outside top 100,Antarctic stone crab
classification_note_0170,Seafood,Species in category Crabs outside top 100,Subantarctic stone crab
classification_note_0171,Seafood,Species in category Crabs outside top 100,Coconut crab
classification_note_0172,Seafood,Species in category Crabs outside top 100,Common spider crab
classification_note_0173,Seafood,Species in category Crabs outside top 100,Globose king crab
classification_note_0174,Seafood,Species in category Crabs outside top 100,King crabs
classification_note_0175,Seafood,Species in category Crabs outside top 100,King crabs nei
classification_note_0176,Seafood,Species in category Crabs outside top 100,Mouthless land crab
classification_note_0177,Seafood,Species in category Crabs outside top 100,Pelagic red crab
classification_note_0178,Seafood,Species in category Crabs outside top 100,Periscope crab
classification_note_0179,Seafood,Species in category Crabs outside top 100,Portly spider crab
classification_note_0180,Seafood,Species in category Crabs outside top 100,Purple mud crab
classification_note_0181,Seafood,Species in category Crabs outside top 100,Red stone crab
classification_note_0182,Seafood,Species in category Crabs outside top 100,Red vermillion crab
classification_note_0183,Seafood,Species in category Crabs outside top 100,Shamefaced crab
classification_note_0184,Seafood,Species in category Crabs outside top 100,Stridulating stone crab
classification_note_0185,Seafood,Species in category Crabs outside top 100,Warty crab
classification_note_0186,Seafood,Species in category Crabs outside top 100,West african fiddler crab
classification_note_0187,Seafood,Species in category Crocodiles outside top 100,Nile crocodile
classification_note_0188,Seafood,Species in category Crocodiles outside top 100,Estuarine crocodile
classification_note_0189,Seafood,Species in category Crocodiles outside top 100,Siamese crocodile
classification_note_0190,Seafood,Species in category Crocodiles outside top 100,American crocodile
classification_note_0191,Seafood,Species in category Crocodiles outside top 100,New Guinea crocodile
classification_note_0192,Seafood,Species in category Crocodiles outside top 100,Morelet's crocodile
classification_note_0193,Seafood,Species in category Crocodiles outside top 100,Cuban crocodile
classification_note_0194,Seafood,Species in category Crocodiles outside top 100,Australian crocodile
classification_note_0195,Seafood,Species in category Crocodiles outside top 100,Slender-snouted crocodile
classification_note_0196,Seafood,Species in category Demersal Marine Fish outside top 100,Saithe(=Pollock)
classification_note_0197,Seafood,Species in category Demersal Marine Fish outside top 100,"Hairtails, scabbardfishes nei"
classification_note_0198,Seafood,Species in category Demersal Marine Fish outside top 100,Daggertooth pike conger
classification_note_0199,Seafood,Species in category Demersal Marine Fish outside top 100,Haddock
classification_note_0200,Seafood,Species in category Demersal Marine Fish outside top 100,Yellow croaker
classification_note_0201,Seafood,Species in category Demersal Marine Fish outside top 100,"Porgies, seabreams nei"
classification_note_0202,Seafood,Species in category Demersal Marine Fish outside top 100,Large yellow croaker
classification_note_0203,Seafood,Species in category Demersal Marine Fish outside top 100,Cape hakes
classification_note_0204,Seafood,Species in category Demersal Marine Fish outside top 100,Red-toothed triggerfish
classification_note_0205,Seafood,Species in category Demersal Marine Fish outside top 100,European seabass
classification_note_0206,Seafood,Species in category Demersal Marine Fish outside top 100,Gilthead seabream
classification_note_0207,Seafood,Species in category Demersal Marine Fish outside top 100,Flatfishes nei
classification_note_0208,Seafood,Species in category Demersal Marine Fish outside top 100,Sandeels(=Sandlances) nei
classification_note_0209,Seafood,Species in category Demersal Marine Fish outside top 100,Ponyfishes(=Slipmouths) nei
classification_note_0210,Seafood,Species in category Demersal Marine Fish outside top 100,Snappers nei
classification_note_0211,Seafood,Species in category Demersal Marine Fish outside top 100,Bombay-duck
classification_note_0212,Seafood,Species in category Demersal Marine Fish outside top 100,"Sharks, rays, skates, etc. nei"
classification_note_0213,Seafood,Species in category Demersal Marine Fish outside top 100,Japanese seabass
classification_note_0214,Seafood,Species in category Demersal Marine Fish outside top 100,Lizardfishes nei
classification_note_0215,Seafood,Species in category Demersal Marine Fish outside top 100,Threadfin and dwarf breams nei
classification_note_0216,Seafood,Species in category Demersal Marine Fish outside top 100,Spinefeet(=Rabbitfishes) nei
classification_note_0217,Seafood,Species in category Demersal Marine Fish outside top 100,"Rays, stingrays, mantas nei"
classification_note_0218,Seafood,Species in category Demersal Marine Fish outside top 100,Blue shark
classification_note_0219,Seafood,Species in category Demersal Marine Fish outside top 100,Greenland halibut
classification_note_0220,Seafood,Species in category Demersal Marine Fish outside top 100,Filefishes nei
classification_note_0221,Seafood,Species in category Demersal Marine Fish outside top 100,Yellowfin sole
classification_note_0222,Seafood,Species in category Demersal Marine Fish outside top 100,Blue grenadier
classification_note_0223,Seafood,Species in category Demersal Marine Fish outside top 100,Flathead grey mullet
classification_note_0224,Seafood,Species in category Demersal Marine Fish outside top 100,European hake
classification_note_0225,Seafood,Species in category Demersal Marine Fish outside top 100,Pacific sandlance
classification_note_0226,Seafood,Species in category Demersal Marine Fish outside top 100,So-iny (redlip) mullet
classification_note_0227,Seafood,Species in category Demersal Marine Fish outside top 100,Emperors(=Scavengers) nei
classification_note_0228,Seafood,Species in category Demersal Marine Fish outside top 100,Norway pout
classification_note_0229,Seafood,Species in category Demersal Marine Fish outside top 100,Whitemouth croaker
classification_note_0230,Seafood,Species in category Demersal Marine Fish outside top 100,Bigeyes nei
classification_note_0231,Seafood,Species in category Demersal Marine Fish outside top 100,Silver croaker
classification_note_0232,Seafood,Species in category Demersal Marine Fish outside top 100,South Pacific hake
classification_note_0233,Seafood,Species in category Demersal Marine Fish outside top 100,"Snappers, jobfishes nei"
classification_note_0234,Seafood,Species in category Demersal Marine Fish outside top 100,Silver seabream
classification_note_0235,Seafood,Species in category Demersal Marine Fish outside top 100,Turbot
classification_note_0236,Seafood,Species in category Demersal Marine Fish outside top 100,European plaice
classification_note_0237,Seafood,Species in category Demersal Marine Fish outside top 100,Beaked redfish
classification_note_0238,Seafood,Species in category Demersal Marine Fish outside top 100,Red drum
classification_note_0239,Seafood,Species in category Demersal Marine Fish outside top 100,"Grunts, sweetlips nei"
classification_note_0240,Seafood,Species in category Demersal Marine Fish outside top 100,Pacific ocean perch
classification_note_0241,Seafood,Species in category Demersal Marine Fish outside top 100,West African croakers nei
classification_note_0242,Seafood,Species in category Demersal Marine Fish outside top 100,Mi-iuy (brown) croaker
classification_note_0243,Seafood,Species in category Demersal Marine Fish outside top 100,Okhotsk atka mackerel
classification_note_0244,Seafood,Species in category Demersal Marine Fish outside top 100,Fusiliers nei
classification_note_0245,Seafood,Species in category Demersal Marine Fish outside top 100,Atka mackerel
classification_note_0246,Seafood,Species in category Demersal Marine Fish outside top 100,Patagonian grenadier
classification_note_0247,Seafood,Species in category Demersal Marine Fish outside top 100,Golden redfish
classification_note_0248,Seafood,Species in category Demersal Marine Fish outside top 100,Goatfishes
classification_note_0249,Seafood,Species in category Demersal Marine Fish outside top 100,Bastard halibut
classification_note_0250,Seafood,Species in category Demersal Marine Fish outside top 100,Demersal percomorphs nei
classification_note_0251,Seafood,Species in category Demersal Marine Fish outside top 100,Gobies nei
classification_note_0252,Seafood,Species in category Demersal Marine Fish outside top 100,Fourfinger threadfin
classification_note_0253,Seafood,Species in category Demersal Marine Fish outside top 100,"Groupers, seabasses nei"
classification_note_0254,Seafood,Species in category Demersal Marine Fish outside top 100,Saffron cod
classification_note_0255,Seafood,Species in category Demersal Marine Fish outside top 100,Lefteye flounders nei
classification_note_0256,Seafood,Species in category Demersal Marine Fish outside top 100,"Scorpionfishes, redfishes nei"
classification_note_0257,Seafood,Species in category Demersal Marine Fish outside top 100,Tilefishes nei
classification_note_0258,Seafood,Species in category Demersal Marine Fish outside top 100,Ling
classification_note_0259,Seafood,Species in category Demersal Marine Fish outside top 100,Southern blue whiting
classification_note_0260,Seafood,Species in category Demersal Marine Fish outside top 100,Atlantic redfishes nei
classification_note_0261,Seafood,Species in category Demersal Marine Fish outside top 100,Meagre
classification_note_0262,Seafood,Species in category Demersal Marine Fish outside top 100,Whiting
classification_note_0263,Seafood,Species in category Demersal Marine Fish outside top 100,"Threadfins, tasselfishes nei"
classification_note_0264,Seafood,Species in category Demersal Marine Fish outside top 100,Royal threadfin
classification_note_0265,Seafood,Species in category Demersal Marine Fish outside top 100,Giant African threadfin
classification_note_0266,Seafood,Species in category Demersal Marine Fish outside top 100,Arrowtooth flounder
classification_note_0267,Seafood,Species in category Demersal Marine Fish outside top 100,Bobo croaker
classification_note_0268,Seafood,Species in category Demersal Marine Fish outside top 100,"Goatfishes, red mullets nei"
classification_note_0269,Seafood,Species in category Demersal Marine Fish outside top 100,Tonguefishes
classification_note_0270,Seafood,Species in category Demersal Marine Fish outside top 100,"Sweetlips, rubberlips nei"
classification_note_0271,Seafood,Species in category Demersal Marine Fish outside top 100,"Grenadiers, rattails nei"
classification_note_0272,Seafood,Species in category Demersal Marine Fish outside top 100,Bigeye grunt
classification_note_0273,Seafood,Species in category Demersal Marine Fish outside top 100,Snoek
classification_note_0274,Seafood,Species in category Demersal Marine Fish outside top 100,Skinnycheek lanternfish
classification_note_0275,Seafood,Species in category Demersal Marine Fish outside top 100,Angler(=Monk)
classification_note_0276,Seafood,Species in category Demersal Marine Fish outside top 100,Common sole
classification_note_0277,Seafood,Species in category Demersal Marine Fish outside top 100,Argentines
classification_note_0278,Seafood,Species in category Demersal Marine Fish outside top 100,Anglerfishes nei
classification_note_0279,Seafood,Species in category Demersal Marine Fish outside top 100,Lesser African threadfin
classification_note_0280,Seafood,Species in category Demersal Marine Fish outside top 100,Monkfishes nei
classification_note_0281,Seafood,Species in category Demersal Marine Fish outside top 100,Rock sole
classification_note_0282,Seafood,Species in category Demersal Marine Fish outside top 100,Bogue
classification_note_0283,Seafood,Species in category Demersal Marine Fish outside top 100,Pink cusk-eel
classification_note_0284,Seafood,Species in category Demersal Marine Fish outside top 100,European flounder
classification_note_0285,Seafood,Species in category Demersal Marine Fish outside top 100,Sillago-whitings
classification_note_0286,Seafood,Species in category Demersal Marine Fish outside top 100,Patagonian toothfish
classification_note_0287,Seafood,Species in category Demersal Marine Fish outside top 100,Leaping African mullet
classification_note_0288,Seafood,Species in category Demersal Marine Fish outside top 100,Acoupa weakfish
classification_note_0289,Seafood,Species in category Demersal Marine Fish outside top 100,Weakfishes nei
classification_note_0290,Seafood,Species in category Demersal Marine Fish outside top 100,Spangled emperor
classification_note_0291,Seafood,Species in category Demersal Marine Fish outside top 100,Southern hake
classification_note_0292,Seafood,Species in category Demersal Marine Fish outside top 100,Sablefish
classification_note_0293,Seafood,Species in category Demersal Marine Fish outside top 100,Tiger pufferfish
classification_note_0294,Seafood,Species in category Demersal Marine Fish outside top 100,Tusk(=Cusk)
classification_note_0295,Seafood,Species in category Demersal Marine Fish outside top 100,Korean rockfish
classification_note_0296,Seafood,Species in category Demersal Marine Fish outside top 100,Mangrove red snapper
classification_note_0297,Seafood,Species in category Demersal Marine Fish outside top 100,"Wrasses, hogfishes, etc. nei"
classification_note_0298,Seafood,Species in category Demersal Marine Fish outside top 100,Oilfish
classification_note_0299,Seafood,Species in category Demersal Marine Fish outside top 100,Pacific halibut
classification_note_0300,Seafood,Species in category Demersal Marine Fish outside top 100,Yellow striped flounder
classification_note_0301,Seafood,Species in category Demersal Marine Fish outside top 100,Indian halibut
classification_note_0302,Seafood,Species in category Demersal Marine Fish outside top 100,Requiem sharks nei
classification_note_0303,Seafood,Species in category Demersal Marine Fish outside top 100,Flathead sole
classification_note_0304,Seafood,Species in category Demersal Marine Fish outside top 100,Pike-congers nei
classification_note_0305,Seafood,Species in category Demersal Marine Fish outside top 100,"Gurnards, searobins nei"
classification_note_0306,Seafood,Species in category Demersal Marine Fish outside top 100,Righteye flounders nei
classification_note_0307,Seafood,Species in category Demersal Marine Fish outside top 100,Greater lizardfish
classification_note_0308,Seafood,Species in category Demersal Marine Fish outside top 100,Stripped weakfish
classification_note_0309,Seafood,Species in category Demersal Marine Fish outside top 100,John's snapper
classification_note_0310,Seafood,Species in category Demersal Marine Fish outside top 100,Red mullet
classification_note_0311,Seafood,Species in category Demersal Marine Fish outside top 100,Orange-spotted grouper
classification_note_0312,Seafood,Species in category Demersal Marine Fish outside top 100,Red porgy
classification_note_0313,Seafood,Species in category Demersal Marine Fish outside top 100,Large-eye dentex
classification_note_0314,Seafood,Species in category Demersal Marine Fish outside top 100,Megrims nei
classification_note_0315,Seafood,Species in category Demersal Marine Fish outside top 100,Lumpfish(=Lumpsucker)
classification_note_0316,Seafood,Species in category Demersal Marine Fish outside top 100,Snooks(=Robalos) nei
classification_note_0317,Seafood,Species in category Demersal Marine Fish outside top 100,Common pandora
classification_note_0318,Seafood,Species in category Demersal Marine Fish outside top 100,Picked dogfish
classification_note_0319,Seafood,Species in category Demersal Marine Fish outside top 100,Surmullet
classification_note_0320,Seafood,Species in category Demersal Marine Fish outside top 100,Atlantic wolffish
classification_note_0321,Seafood,Species in category Demersal Marine Fish outside top 100,Northern wolffish
classification_note_0322,Seafood,Species in category Demersal Marine Fish outside top 100,Whitespotted conger
classification_note_0323,Seafood,Species in category Demersal Marine Fish outside top 100,King weakfish
classification_note_0324,Seafood,Species in category Demersal Marine Fish outside top 100,Soles nei
classification_note_0325,Seafood,Species in category Demersal Marine Fish outside top 100,Monocle breams
classification_note_0326,Seafood,Species in category Demersal Marine Fish outside top 100,"Triggerfishes, durgons nei"
classification_note_0327,Seafood,Species in category Demersal Marine Fish outside top 100,Moonfish
classification_note_0328,Seafood,Species in category Demersal Marine Fish outside top 100,Atlantic halibut
classification_note_0329,Seafood,Species in category Demersal Marine Fish outside top 100,Twobar seabream
classification_note_0330,Seafood,Species in category Demersal Marine Fish outside top 100,Argentine croaker
classification_note_0331,Seafood,Species in category Demersal Marine Fish outside top 100,Puffers nei
classification_note_0332,Seafood,Species in category Demersal Marine Fish outside top 100,Shallow-water Cape hake
classification_note_0333,Seafood,Species in category Demersal Marine Fish outside top 100,Pink ear emperor
classification_note_0334,Seafood,Species in category Demersal Marine Fish outside top 100,Percoids nei
classification_note_0335,Seafood,Species in category Demersal Marine Fish outside top 100,American angler
classification_note_0336,Seafood,Species in category Demersal Marine Fish outside top 100,Tigertooth croaker
classification_note_0337,Seafood,Species in category Demersal Marine Fish outside top 100,White grouper
classification_note_0338,Seafood,Species in category Demersal Marine Fish outside top 100,Mote sculpin
classification_note_0339,Seafood,Species in category Demersal Marine Fish outside top 100,Shortfin mako
classification_note_0340,Seafood,Species in category Demersal Marine Fish outside top 100,Pacific red snapper
classification_note_0341,Seafood,Species in category Demersal Marine Fish outside top 100,Ponyfishes(=Slipmouths)
classification_note_0342,Seafood,Species in category Demersal Marine Fish outside top 100,John dory
classification_note_0343,Seafood,Species in category Demersal Marine Fish outside top 100,Southern meagre(=Mulloway)
classification_note_0344,Seafood,Species in category Demersal Marine Fish outside top 100,European conger
classification_note_0345,Seafood,Species in category Demersal Marine Fish outside top 100,Red pandora
classification_note_0346,Seafood,Species in category Demersal Marine Fish outside top 100,Boarfishes nei
classification_note_0347,Seafood,Species in category Demersal Marine Fish outside top 100,Orange roughy
classification_note_0348,Seafood,Species in category Demersal Marine Fish outside top 100,Obscure pufferfish
classification_note_0349,Seafood,Species in category Demersal Marine Fish outside top 100,"Hammerhead sharks, etc. nei"
classification_note_0350,Seafood,Species in category Demersal Marine Fish outside top 100,Javelin grunter
classification_note_0351,Seafood,Species in category Demersal Marine Fish outside top 100,Yellowtail snapper
classification_note_0352,Seafood,Species in category Demersal Marine Fish outside top 100,Silver hake
classification_note_0353,Seafood,Species in category Demersal Marine Fish outside top 100,Pouting(=Bib)
classification_note_0354,Seafood,Species in category Demersal Marine Fish outside top 100,Benguela hake
